index, name                                                   , type      , volume-mm3 
41  , Right-Ventral_Latero_Ventral                           , subcortical,     1407.0 
24  , ctx-rh-lingual                                         , cortical  ,     5283.0 
25  , ctx-rh-fusiform                                        , cortical  ,    10966.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     2301.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     2235.0 
20  , ctx-rh-precuneus                                       , cortical  ,    11921.0 
21  , ctx-rh-cuneus                                          , cortical  ,     1854.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     1664.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,    10446.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     3068.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,    12492.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     5995.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    22113.0 
120 , Left-Hippocampus_Tail                                  , subcortical,      846.0 
121 , Left-VentralDC                                         , subcortical,     2949.0 
122 , Left-Hypothalamus                                      , subcortical,     1012.0 
123 , Brain_Stem-Midbrain                                    , subcortical,     7922.0 
124 , Brain_Stem-Pons                                        , subcortical,    18740.0 
125 , Brain_Stem-Medulla                                     , subcortical,     5825.0 
126 , Brain_Stem-SCP                                         , subcortical,      223.0 
59  , Right-Hippocampus_Tail                                 , subcortical,      867.0 
58  , Right-Hippocampus_Hippocampal_fissure                  , subcortical,       85.0 
55  , Right-Hippocampus_HATA                                 , subcortical,       66.0 
54  , Right-Hippocampus_GCDG                                 , subcortical,      400.0 
57  , Right-Hippocampus_Molecular_layer_HP                   , subcortical,      750.0 
56  , Right-Hippocampus_Fimbria                              , subcortical,       90.0 
51  , Right-Hippocampus_CA1                                  , subcortical,      920.0 
50  , Right-Hippocampus_Subiculum                            , subcortical,      543.0 
53  , Right-Hippocampus_CA4                                  , subcortical,      382.0 
52  , Right-Hippocampus_CA3                                  , subcortical,      309.0 
115 , Left-Hippocampus_GCDG                                  , subcortical,      422.0 
114 , Left-Hippocampus_CA4                                   , subcortical,      375.0 
88  , ctx-lh-entorhinal                                      , cortical  ,     2371.0 
89  , ctx-lh-temporalpole                                    , cortical  ,     3462.0 
111 , Left-Hippocampus_Subiculum                             , subcortical,      544.0 
110 , Left-Hippocampus_Presubiculum                          , subcortical,      396.0 
113 , Left-Hippocampus_CA3                                   , subcortical,      301.0 
112 , Left-Hippocampus_CA1                                   , subcortical,      909.0 
82  , ctx-lh-cuneus                                          , cortical  ,     2214.0 
83  , ctx-lh-pericalcarine                                   , cortical  ,     1652.0 
80  , ctx-lh-inferiorparietal                                , cortical  ,    11707.0 
81  , ctx-lh-precuneus                                       , cortical  ,    11714.0 
119 , Left-Hippocampus_Hippocampal_fissure                   , subcortical,       91.0 
118 , Left-Hippocampus_Molecular_layer_HP                    , subcortical,      760.0 
84  , ctx-lh-lateraloccipital                                , cortical  ,    10571.0 
85  , ctx-lh-lingual                                         , cortical  ,     5398.0 
3   , ctx-rh-frontalpole                                     , cortical  ,      950.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    17488.0 
108 , Left-Hippocampus                                       , subcortical,     1495.0 
109 , Left-Hippocampus_Parasubiculum                         , subcortical,       67.0 
102 , Left-Ventral_Latero_Ventral                            , subcortical,     1166.0 
103 , Left-Caudate                                           , subcortical,     4934.0 
100 , Left-Central_Lateral-Lateral_Posterior-Medial_Pulvinar , subcortical,     1203.0 
101 , Left-Ventral_Anterior                                  , subcortical,     2015.0 
106 , Left-Accumbens_area                                    , subcortical,      702.0 
107 , Left-Amygdala                                          , subcortical,     2133.0 
104 , Left-Putamen                                           , subcortical,     6457.0 
105 , Left-Pallidum                                          , subcortical,     2631.0 
39  , Right-Central_Lateral-Lateral_Posterior-Medial_Pulvinar, subcortical,      864.0 
38  , Right-Ventral_Latero_Dorsal                            , subcortical,     1568.0 
33  , ctx-rh-transversetemporal                              , cortical  ,      862.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    13331.0 
31  , ctx-rh-bankssts                                        , cortical  ,     3142.0 
30  , ctx-rh-middletemporal                                  , cortical  ,    13235.0 
37  , Right-Medio_Dorsal                                     , subcortical,     1209.0 
36  , Right-Anterior                                         , subcortical,     1362.0 
35  , Right-Pulvinar                                         , subcortical,     1535.0 
34  , ctx-rh-insula                                          , cortical  ,     7903.0 
60  , Right-VentralDC                                        , subcortical,     3152.0 
61  , Right-Hypothalamus                                     , subcortical,     1052.0 
62  , ctx-lh-lateralorbitofrontal                            , cortical  ,    10272.0 
63  , ctx-lh-parsorbitalis                                   , cortical  ,     2924.0 
64  , ctx-lh-frontalpole                                     , cortical  ,      731.0 
65  , ctx-lh-medialorbitofrontal                             , cortical  ,     6121.0 
66  , ctx-lh-parstriangularis                                , cortical  ,     4212.0 
67  , ctx-lh-parsopercularis                                 , cortical  ,     5270.0 
68  , ctx-lh-rostralmiddlefrontal                            , cortical  ,    16435.0 
69  , ctx-lh-superiorfrontal                                 , cortical  ,    22564.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     3456.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     4671.0 
99  , Left-Ventral_Latero_Dorsal                             , subcortical,     1435.0 
98  , Left-Medio_Dorsal                                      , subcortical,     1590.0 
91  , ctx-lh-middletemporal                                  , cortical  ,    13003.0 
90  , ctx-lh-inferiortemporal                                , cortical  ,    12496.0 
93  , ctx-lh-superiortemporal                                , cortical  ,    13517.0 
92  , ctx-lh-bankssts                                        , cortical  ,     3716.0 
95  , ctx-lh-insula                                          , cortical  ,     7868.0 
94  , ctx-lh-transversetemporal                              , cortical  ,     1032.0 
97  , Left-Anterior                                          , subcortical,     1416.0 
96  , Left-Pulvinar                                          , subcortical,     1220.0 
11  , ctx-rh-paracentral                                     , cortical  ,     4213.0 
10  , ctx-rh-precentral                                      , cortical  ,    10275.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     2386.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     2654.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     3008.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     3645.0 
17  , ctx-rh-supramarginal                                   , cortical  ,    10594.0 
16  , ctx-rh-postcentral                                     , cortical  ,     7677.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    12232.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    11243.0 
117 , Left-Hippocampus_Fimbria                               , subcortical,       98.0 
116 , Left-Hippocampus_HATA                                  , subcortical,       77.0 
48  , Right-Hippocampus_Parasubiculum                        , subcortical,       65.0 
49  , Right-Hippocampus_Presubiculum                         , subcortical,      387.0 
46  , Right-Amygdala                                         , subcortical,     2216.0 
86  , ctx-lh-fusiform                                        , cortical  ,    10307.0 
44  , Right-Pallidum                                         , subcortical,     2689.0 
45  , Right-Accumbens_area                                   , subcortical,      828.0 
42  , Right-Caudate                                          , subcortical,     4874.0 
43  , Right-Putamen                                          , subcortical,     6306.0 
40  , Right-Ventral_Anterior                                 , subcortical,     1978.0 
87  , ctx-lh-parahippocampal                                 , cortical  ,     2324.0 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     9759.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     5088.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     5508.0 
77  , ctx-lh-postcentral                                     , cortical  ,     8027.0 
76  , ctx-lh-isthmuscingulate                                , cortical  ,     3077.0 
75  , ctx-lh-posteriorcingulate                              , cortical  ,     4038.0 
74  , ctx-lh-caudalanteriorcingulate                         , cortical  ,     2321.0 
73  , ctx-lh-rostralanteriorcingulate                        , cortical  ,     3077.0 
72  , ctx-lh-paracentral                                     , cortical  ,     3609.0 
71  , ctx-lh-precentral                                      , cortical  ,    10113.0 
70  , ctx-lh-caudalmiddlefrontal                             , cortical  ,     5940.0 
79  , ctx-lh-superiorparietal                                , cortical  ,    11292.0 
78  , ctx-lh-supramarginal                                   , cortical  ,     9689.0 
47  , Right-Hippocampus                                      , subcortical,     1351.0 
